movie	Harry Potter and the Deathly Hallows: Part 2	2011
actress	Mason, Margery	Harry Potter and the Goblet of Fire	2005	Food Trolley Lady
actress	Watson, Emma	Harry Potter and the Goblet of Fire	2005	Hermione Granger
actress	Webster, Flip	Harry Potter and the Goblet of Fire	2005	Ministry Witch
actress	Wright, Bonnie	Harry Potter and the Goblet of Fire	2005	Ginny Weasley
actress	Richardson, Miranda	Harry Potter and the Goblet of Fire	2005	Rita Skeeter
actress	Skeoch, Charlotte	Harry Potter and the Goblet of Fire	2005	Hannah Abbott
actress	Smith, Maggie	Harry Potter and the Goblet of Fire	2005	Minerva McGonagall
actress	Somerville, Geraldine	Harry Potter and the Goblet of Fire	2005	Lily Potter
actress	Elliot, Su	Harry Potter and the Goblet of Fire	2005	Ministry Witch
actress	Henderson, Shirley	Harry Potter and the Goblet of Fire	2005	Moaning Myrtle
actress	Higginbottom, Olivia	Harry Potter and the Goblet of Fire	2005	Death Eater
actress	Allen, Sheila	Harry Potter and the Goblet of Fire	2005	Ministry Witch
actress	Azad, Afshan	Harry Potter and the Goblet of Fire	2005	Padma Patil
actress	Benjamin, Tiana	Harry Potter and the Goblet of Fire	2005	Angelina Johnson
actress	Chowdhury, Shefali	Harry Potter and the Goblet of Fire	2005	Parvati Patil
actress	de la Tour, Frances	Harry Potter and the Goblet of Fire	2005	Madame Olympe Maxime
actor	Lewis, Matthew	Harry Potter and the Goblet of Fire	2005	Neville Longbottom
actor	Lloyd Pack, Roger	Harry Potter and the Goblet of Fire	2005	Bartemius 'Barty' Crouch
actor	Lloyd-Hughes, Henry	Harry Potter and the Goblet of Fire	2005	Roger Davies
actor	Mackey, Steve	Harry Potter and the Goblet of Fire	2005	Band Bass Guitar
actor	McKenna, Liam	Harry Potter and the Goblet of Fire	2005	Ministry Wizard
actor	Melling, William	Harry Potter and the Goblet of Fire	2005	Nigel
actor	Murray, Devon	Harry Potter and the Goblet of Fire	2005	Seamus Finnigan
actor	Oldman, Gary	Harry Potter and the Goblet of Fire	2005	Sirius Black
actor	Palmer, Alex	Harry Potter and the Goblet of Fire	2005	Death Eater
actor	Pattinson, Robert	Harry Potter and the Goblet of Fire	2005	Cedric Diggory
actor	Phelps, James	Harry Potter and the Goblet of Fire	2005	Fred Weasley
actor	Phelps, Oliver	Harry Potter and the Goblet of Fire	2005	George Weasley
actor	Radcliffe, Daniel	Harry Potter and the Goblet of Fire	2005	Harry Potter
actor	Rawle, Jeff	Harry Potter and the Goblet of Fire	2005	Amos Diggory
actor	Rawlins, Adrian	Harry Potter and the Goblet of Fire	2005	James Potter
actor	Sykes, Eric	Harry Potter and the Goblet of Fire	2005	Frank Bryce
actor	Tennant, David	Harry Potter and the Goblet of Fire	2005	Bartemius 'Barty' Crouch Junior
actor	Watts, Alan	Harry Potter and the Goblet of Fire	2005	Assistant Judge
actor	Waylett, Jamie	Harry Potter and the Goblet of Fire	2005	Vincent Crabbe
actor	Whittingham, Christopher	Harry Potter and the Goblet of Fire	2005	Ministry Wizard
actor	Wilfort, Robert	Harry Potter and the Goblet of Fire	2005	Photographer
actor	Williams, Mark	Harry Potter and the Goblet of Fire	2005	Arthur Weasley
actor	Rham, Philip	Harry Potter and the Goblet of Fire	2005	Death Eater
actor	Rickman, Alan	Harry Potter and the Goblet of Fire	2005	Severus Snape
actor	Rosson, Richard	Harry Potter and the Goblet of Fire	2005	Death Eater
actor	Safer, Tolga	Harry Potter and the Goblet of Fire	2005	Karkaroff's Aide
actor	Selway, Phil	Harry Potter and the Goblet of Fire	2005	Band Drums
actor	Spall, Timothy	Harry Potter and the Goblet of Fire	2005	Wormtail (Peter Pettigrew)
actor	Sterne, David	Harry Potter and the Goblet of Fire	2005	Ministry Wizard
actor	Enoch, Alfred	Harry Potter and the Goblet of Fire	2005	Dean Thomas
actor	Felton, Tom	Harry Potter and the Goblet of Fire	2005	Draco Malfoy
actor	Fiennes, Ralph	Harry Potter and the Goblet of Fire	2005	Lord Voldemort
